Timestamp,Open,Close,Volume,RSI
2024-03-03 09:00:00,100,105,10000,45.12
2024-03-03 10:00:00,105,102,7500,42.21
2024-03-03 11:00:00,102,104,8200,46.87
2024-03-03 12:00:00,104,101,6800,40.29
2024-03-03 13:00:00,101,99,9300,38.01
2024-03-03 14:00:00,99,98,6000,35.72
2024-03-03 15:00:00,98,100,7800,41.12
2024-03-03 16:00:00,100,103,8500,44.88
2024-03-03 17:00:00,103,105,9200,48.21
2024-03-03 18:00:00,105,106,7700,50.45
2024-03-03 19:00:00,106,108,8400,52.82
2024-03-03 20:00:00,108,109,9200,54.92
2024-03-03 21:00:00,109,107,7800,51.98
2024-03-03 22:00:00,107,109,8500,54.19
2024-03-03 23:00:00,109,110,9200,55.75
2024-03-04 00:00:00,110,111,9800,57.23
2024-03-04 01:00:00,111,110,8200,55.19
2024-03-04 02:00:00,110,112,8900,58.14
2024-03-04 03:00:00,112,113,9200,59.52
2024-03-04 04:00:00,113,114,9500,60.81
2024-03-04 05:00:00,114,115,10000,62.09
2024-03-04 06:00:00,115,113,8500,58.89
2024-03-04 07:00:00,113,111,7800,55.98
2024-03-04 08:00:00,111,112,8300,57.32
2024-03-04 09:00:00,112,114,9000,59.68
2024-03-04 10:00:00,114,115,9600,60.91
2024-03-04 11:00:00,115,118,10500,64.19
2024-03-04 12:00:00,118,120,11200,65.32
2024-03-04 13:00:00,120,119,9800,63.91
2024-03-04 14:00:00,119,121,10400,62.12
2024-03-04 15:00:00,121,120,10200,61.89
2024-03-04 16:00:00,120,122,10900,63.02
2024-03-04 17:00:00,122,124,11600,64.18
2024-03-04 18:00:00,124,126,12200,65.32
2024-03-04 19:00:00,126,128,13000,60.68
2024-03-04 20:00:00,128,129,13800,59.91
2024-03-04 21:00:00,129,131,14400,61.18
2024-03-04 22:00:00,131,133,15200,62.32
2024-03-04 23:00:00,133,134,15800,63.11
2024-03-05 00:00:00,134,135,16400,63.89
2024-03-05 01:00:00,135,136,17000,64.57
2024-03-05 02:00:00,136,137,17600,65.12
2024-03-05 03:00:00,137,138,18200,65.68
2024-03-05 04:00:00,138,137,17600,65.22
2024-03-05 05:00:00,137,135,16800,64.89
2024-03-05 06:00:00,135,134,16200,64.32
2024-03-05 07:00:00,134,135,16800,64.12
2024-03-05 08:00:00,135,136,17400,64.21
2024-03-05 09:00:00,136,138,18200,64.75
2024-03-05 10:00:00,138,139,18800,64.32
2024-03-05 11:00:00,139,140,19400,64.89
2024-03-05 12:00:00,140,141,20000,65.32
2024-03-05 13:00:00,141,142,20600,65.75
2024-03-05 14:00:00,142,143,21200,65.12
2024-03-05 15:00:00,143,144,21800,64.45
2024-03-05 16:00:00,144,145,22400,63.78
2024-03-05 17:00:00,145,146,23000,63.02
2024-03-05 18:00:00,146,147,23600,62.29
2024-03-05 19:00:00,147,148,24200,61.52
2024-03-05 20:00:00,148,149,24800,60.78
2024-03-05 21:00:00,149,150,25400,60.02
2024-03-05 22:00:00,150,151,26000,59.21
2024-03-05 23:00:00,151,152,26600,58.11
